H2n,H
15275.06422573349, 3730.3157193537204
18678.441088593714, 3679.3810088398504
30276.80943753247, 3639.7497954281494
52458.190904013754, 3552.3629698553477
90890.08531759624, 3462.3010373772568
160790.9128768604, 3382.5308356320174
272849.3445151197, 3277.272809761377
819085.6521059689, 3086.894368334917
1486914.9407353252, 2997.8162807297713
2281315.15503569, 2933.577303825494
3667229.1728949714, 2823.3963381638687
6353912.833431295, 2741.4488966318236
10737280.752306527, 2643.6886009485097
18144598.60816075, 2533.20668576004
31437685.65269157, 2464.0403105532682
54469547.68968794, 2369.5198665663606
94375001.33745205, 2271.8784645232818
163515969.10965973, 2172.453657876676
283310959.2048334, 2073.4747023809527
490870096.9245034, 1972.7123422817026
850491109.5954616, 1867.4914706736358
1473577494.398001, 1768.512515177912
2553149124.661794, 1661.5082389663185
4423635999.83207, 1553.612260452962
7664478063.576601, 1446.6079842413683
13279624270.459288, 1347.629028745645
23008536171.904392, 1239.7330502322884
39865038798.68607, 1138.9706901330383
69070944215.971, 1040.437585788196
119673665915.08195, 947.7005464048152
207348929077.52084, 859.8678696811321
359256801075.1989, 776.4937044662656
622455344683.8966, 699.8073065146241
1078478277839.0638, 630.7003781279705
1868592511421.6375, 565.1602589483691
3237559852143.904, 504.97035357934783
5609459383008.739, 451.468215473551
9719058799418.97, 405.9913980836245
16839430949921.35, 365.41894335339475
29176326696790.746, 327.9674466793376
50551473030734.88, 298.09541957026795
87586468719456.12, 274.0194574226589
151754025012883.9, 256.1854113873942
262931985320416.72, 239.6889188047735
455561089062816.44, 225.42168197656065
789314033494973.8, 209.37104054482097
1206986182927666.5, 195.921197493225
