He,H
46030.99517185394, 1999.0595746132612
91341.76766056882, 1915.8452777740695
158568.32922445223, 1848.9475097268755
314655.62350476696, 1764.1015600084847
713717.8437535877, 1661.3074286188948
1239006.5237432506, 1592.7780076925014
2458626.966442075, 1511.1953637325096
4268150.05051847, 1450.8242072021158
10179061.526150197, 1359.4516459669244
17670741.66193652, 1300.7121423157305
30676218.04630122, 1245.2359444229364
56935725.50672885, 1184.8647878925422
98839808.97253199, 1126.1252842413478
171584848.54245067, 1074.7282185465533
318465197.4692972, 1010.2779298181599
552852167.9862489, 956.4333848045653
1558357476.7617192, 866.6924764485739
2705291869.7916965, 827.5328073477776
3747698543.8588724, 803.0580141597802
6505964486.530862, 763.898345058984
11581031113.353065, 724.7386759581882
20614972910.798645, 683.1315275385923
36695964629.864, 638.261073360597
63703801116.04785, 594.206445622201
113396822913.98354, 553.4151236422049
201853566376.056, 512.6238016622092
359312203037.9982, 472.6483061218132
639598603928.0262, 434.3044634606167
1167431880469.2297, 398.4081001182203
2078103094233.7117, 364.959216094624
3699155850128.008, 328.2470263126279
6751910407155.38, 298.87727448703026
27744.814032758954, 2053.639846743295
17323.52884899283, 2114.942528735632
144241725524106.94, 199.2337164750952
35111917342151.418, 245.21072796934823
