CH4,H
12141.479169384738, 775.3106990766687
16398.897804620934, 770.1321313941676
22149.183427708194, 765.3851110185415
29915.810950174004, 759.9907696826031
40405.8121477733, 755.0279756535397
54574.140010456525, 750.0651816244758
73710.60249917641, 744.8866139419752
99557.27968870549, 739.708046259474
134467.1133182757, 734.5294785769725
181618.1058852423, 729.5666845479095
245302.6288090919, 724.3881168654079
331318.1767167672, 719.2095491829068
447495.14000664547, 714.0309815004061
604409.6412517574, 709.0681874713423
816346.328214095, 703.6738461354039
1102598.770940266, 698.2795047994655
1489225.8440588582, 693.1009371169639
2011423.985827179, 687.4908221275882
2716731.2915642587, 682.0964807916498
3669355.1248118347, 676.9179131091487
4956017.208544162, 671.5235717732098
6693848.301926192, 666.1292304372714
9041051.151305923, 660.5191154478948
12211302.412845066, 654.9090004585191
16493204.619953606, 649.0831118157053
22276558.99746748, 643.0414495194541
30087850.857515354, 637.4313345300784
40638177.97564716, 631.173898580389
54887985.087438405, 625.1322362841379
74134497.58412512, 618.874800334449
100129813.89816846, 612.1858170778855
135240407.0710095, 606.1441547816344
182662555.6633228, 599.6709451785077
246713315.67301124, 592.5504146150688
333223521.9710801, 586.0772050119426
450068595.98116827, 578.7409007950664
607885481.4638207, 571.8361438850648
821040974.3628563, 564.2840660147504
1108939598.2273214, 556.9477617978741
1497790087.1157806, 549.1799102741224
2022991287.0353003, 541.4120587503712
2732354675.481563, 533.212659919744
3690456859.8350487, 524.7974874356801
4984518282.533437, 516.3823149516161
6732343298.553176, 507.7513688141139
9093044446.922401, 498.68887536973716
12281527195.957985, 489.62638192535996
16588053775.114557, 480.1323411741082
22404667078.916077, 470.63830042285645
30260880132.31071, 460.2811650578542
40871880093.40325, 450.57135065316515
55203635025.336365, 439.78266798128743
74560830405.80272, 428.99398530941016
100705640638.5446, 417.7737553306579
136018147883.05214, 406.3377516984683
183713011865.3423, 394.47020075940327
248132115117.85852, 383.0341971272137
335139824488.81384, 370.51932522783636
452656851391.6204, 358.22022698189585
611381310544.9501, 345.2738077756435
825762618492.3802, 332.1116149159534
1144258397217.7075, 324.27408648327855
1487993183163.5212, 324.259252044606
2034625109503.0693, 291.9777153765699
2748067906387.325, 278.81552251687935
3711679946759.561, 265.00600869687696
5013183260557.819, 251.41226853031185
6771059672286.193, 238.2500756706213
9145336745690.596, 226.16675107811898
12352155827898.533, 213.65187917874118
16683448388992.723, 201.56855458623886
22533511884583.9, 189.9167773006111
30434904464216.72, 178.912320975297
41106926185780.53, 167.907864649982
55521100203548.74, 157.33495563154247
74989614983151.23, 147.62514122685297
90797518708598.02, 141.43962982831

