CO,H
12144.683292002515, 736.5597639370262
16405.610246115823, 720.536258062506
22161.471079669656, 704.3690436151201
29936.759013966835, 688.058120594867
40439.98419773151, 672.8968661575404
54628.23551306239, 659.1726974488706
73794.39370399194, 645.664091599499
99684.94297857453, 630.862108594335
134659.11647030857, 616.2038341620387
181903.87742370987, 602.4796654533684
245724.32590611844, 590.120728186922
331935.99387313565, 579.7737109405944
448394.7758214325, 568.9955679756704
605712.7840760652, 558.7204050157766
818225.359831771, 549.6667649252399
1105297.3572170082, 540.6131248347028
1493087.7333380145, 533.212133332122
2016933.2396284407, 525.2363075380777
2724568.4244042565, 517.1886274576013
3680475.3639878575, 509.7157816685867
4971759.484397403, 501.59624730167707
6716086.898055672, 494.7700900905579
9072406.53209152, 487.44095287440996
12255434.084297752, 479.17770993463455
16555217.633081697, 470.98632128129293
22363567.784992404, 463.94460121087513
30209760.762948837, 456.184338276129
40808767.81955358, 448.0648039092198
55126405.80036388, 439.5859981101462
74467345.59356864, 431.6101723161023
100593998.08930375, 422.48467793913323
135887110.9334235, 413.93401785362676
183562710.1871396, 404.4492520444928
247965155.33954108, 395.0363405217927
334963011.8223788, 385.26415756692813
452483814.24995697, 375.56382889849556
611236449.7927281, 365.50422879789994
825686987.6650038, 354.2231058279458
1115376875.5618134, 343.8042342951853
1506703621.4972699, 333.38536276242576
2035326222.707921, 321.0264254959784
2749414532.3191547, 309.0267596616968
3714038656.894242, 297.60192811887646
5017098361.3989105, 285.6741165710264
6777332788.7223425, 272.3092192945205
9155140366.090757, 260.38140774667227
12367194844.304737, 247.0165104701664
16706189332.005428, 234.37015605798751
22567507467.171497, 222.87347022873473
30485252091.87877, 209.93969867082615
41180914483.23686, 196.71850996718513
55629119043.02205, 184.43142698717293
75146434321.22957, 171.4258011428301
101511343129.98277, 157.41421528842784
137126303824.39807, 142.61223228326526
185236670314.40567, 125.58276639868473
250226419528.5834, 106.11025477538806
338017634002.0578, 79.70380451132405
456610141773.2096, 60.267220031243596
616810487374.991, 52.14768566433486
821904389421.1888, 46.92387904066709
1221754683516.3318, 40.866562694380264
1650403775233.451, 35.04636549332099
2229443159133.5225, 30.30398258875448
3011636833601.0327, 24.05265966909883
4068260893014.8774, 18.591733900203508

