H2O,H
12144.683292002515, 717.3028151730282
12144.683292002515, 139.1632265344897
16405.610246115823, 701.3511635849404
16405.610246115823, 139.1632265344897
22161.471079669656, 685.3995119968522
22161.471079669656, 141.31885512747522
29936.759013966835, 670.0945489866604
29936.759013966835, 143.04335800186254
40439.98419773151, 655.4362745543631
40439.98419773151, 143.9056094390562
54628.23551306239, 640.346874403469
54628.23551306239, 144.76786087624987
73794.39370399194, 625.6885999711722
73794.39370399194, 146.7079266099372
99684.94297857453, 611.0303255388749
99684.94297857453, 148.64799234362272
134659.11647030857, 597.0187396844735
134659.11647030857, 148.86355520292182
181903.87742370987, 582.3604652521767
181903.87742370987, 151.01918379590643
245724.32590611844, 568.1333165384767
245724.32590611844, 153.17481238889195
331935.99387313565, 552.1816649503885
331935.99387313565, 153.39037524819014
448394.7758214325, 535.152199065808
448394.7758214325, 155.76156670047294
605712.7840760652, 517.691607462631
605712.7840760652, 157.70163243415936
818225.359831771, 500.23101585945324
818225.359831771, 158.13275815275665
1105297.3572170082, 481.26148424118674
1105297.3572170082, 158.13275815275665
1493087.7333380145, 461.86082690432295
1493087.7333380145, 159.8572610271449
2016933.2396284407, 441.38235527096685
2016933.2396284407, 160.50394960503945
2724568.4244042565, 419.6105064818198
2724568.4244042565, 162.65957819802497
3680475.3639878575, 396.76084339618046
3680475.3639878575, 162.87514105732316
4971759.484397403, 372.83336601404835
4971759.484397403, 162.87514105732316
6716086.898055672, 346.534697179633
6716086.898055672, 165.24633250960687
9072406.53209152, 320.66715406381445
9072406.53209152, 167.83308682118786
12255434.084297752, 292.85954521430995
12255434.084297752, 171.06652971066615
16555217.633081697, 263.3274334904172
16555217.633081697, 176.88672691172542
22059945.9946936, 222.31695878031314
20886124.566276725, 184.611062703254

