H2n,H
296583.5124857225, 3957.8060355317602
331441.1451175275, 3880.5011357183425
385764.0222423678, 3822.962805224305
457589.9045887586, 3763.5065303804663
553185.2098033908, 3695.0085178875647
668751.3716462788, 3628.1544576944925
793267.0199943093, 3563.355337876207
923282.7029870145, 3503.762067007383
1074607.8283213174, 3446.908716638274
1274690.3943337123, 3387.0414537194783
1540986.5168629144, 3321.8313458262355
1862914.6777202515, 3250.593412833618
2252096.990134979, 3183.1913685406025
2722583.548046247, 3116.885292447473
3291359.6566051203, 3054.415105053947
3978959.0284205163, 2983.725156161273
4719806.351027704, 2921.5289608177177
5598592.9566217065, 2860.4287336740495
6768197.436733081, 2794.1226575809205
8182144.495505874, 2734.3923906871105
9891479.846907618, 2671.374219193641
11957913.187125908, 2606.7120954003412
14732923.521114713, 2545.429206890025
18151915.98085062, 2479.5797842135157
21944040.61257573, 2415.4656445201595
26528379.644020833, 2350.8035207268604
32684681.877038617, 2288.1506719666863
40269644.95149606, 2225.3151618398642
48682393.92479969, 2162.844974446338
59979862.313354105, 2099.096157486277
75314468.44958456, 2033.3380654930916
94569559.49998198, 1970.776547416241
118747456.73877153, 1905.0184554230555
149106737.47961348, 1836.5204429301539
190813734.39369333, 1769.783807901355
253630115.61588132, 1700.2093980692794
337125814.0915654, 1634.3534517725325
448108515.232582, 1571.7756246450886
607035091.9288533, 1510.1274134014766
806872634.3940865, 1449.60452664882
1072497219.3376179, 1389.913401476434
1452870066.0734859, 1329.6351504826807
2005842318.3358445, 1267.3780680169102
2876375814.549116, 1209.900624645088
4124719949.7651772, 1149.8659221401986
5914844151.42663, 1088.5221465076665
8322479464.896018, 1027.3387432059708
18816873819.984264, 914.039027412111
28563705661.482166, 861.4823705539211
43359236444.96601, 804.6912911052609
65818609369.920586, 752.6328016106554
99911568896.9453, 703.8123999793506
151664121971.11862, 659.2264209385162
230223648244.33868, 615.3876929430594
349475719913.6838, 573.7907180837337
530498407702.9536, 534.1864126787468
805287877065.9048, 500.3110319549842
1222413782083.2646, 467.68106964018443
1855604060589.6338, 435.5492746889686
2816776512294.099, 405.1610655102986
4275820520510.47, 378.75819524030794
6490625381112.838, 356.83883124257954
9852662813105.248, 333.42496515409675
14956180461628.059, 311.00743379278356
22703236500010.266, 289.08806979505425
34463140431998.68, 270.15770997883465
52314481613012.11, 247.49109493572905
79412524573561.1, 226.56806566517025
120546909090998.75, 205.14686903102574
182988229746210.66, 184.97109080584414
277773129797753.4, 166.78798203500082
421655052593552.75, 146.36312012802682
640065450200760, 125.93825822105191
971608849510469.2, 99.83982356214074
3355828434243417.5, 32.32845920878299
4526884042637523, 8.354154836267298
12541822663.794882, 967.6320272572402
