H2n,H
164266.1792324848, 3933.929585462806
180611.4247567366, 3866.1165530948333
196087.24270878205, 3803.631143920753
222524.9729062569, 3745.7883778156356
237051.91353623068, 3687.9456117105187
269012.76140318427, 3623.405262161651
286574.53149384126, 3565.8669316676137
317892.0837536213, 3489.624077228848
344258.95483039087, 3424.989352640546
393152.58351342694, 3358.546280522431
432273.08620026306, 3282.51348665531
466354.1512580543, 3220.8652754116983
524566.0806356458, 3139.900624645089
596799.1698813564, 3069.9413212190047
637773.0364938901, 3007.836456558774
721476.7430195153, 2932.9452962332016
778359.062556613, 2856.455848949461
855809.3937383487, 2798.9175184554233
977356.3459200647, 2721.0581109218256
1044457.7605527345, 2658.4965928449747
1159331.5376564448, 2596.848381601363
1313977.0298706251, 2516.842703009654
1455729.225573676, 2455.742475865986
1570501.1233094512, 2395.464224872232
1726773.2578203252, 2331.0760931289046
1934959.1000922911, 2259.8381601362867
2127496.4910401325, 2174.4439712284693
2368966.1600948866, 2106.4026121521865
2637842.502354026, 2031.5114518266141
3109260.458519934, 1963.7555011357185
3550855.4387075044, 1895.428733674049
4055168.267440855, 1828.9856615559347
4631106.492818807, 1767.5657770206321
5390140.284088875, 1701.4423622941517
6393737.197105986, 1635.1362862010224
7441664.424136742, 1572.1181147075526
8827237.164389702, 1511.291879613856
10671339.104728965, 1441.697898921068
12900693.180366233, 1375.7571455612347
15595782.581793875, 1308.5377626348668
19215014.22814124, 1241.9576944917662
24127574.272898253, 1175.742949081961
29726734.16757439, 1112.9074389551397
36625261.796924405, 1050.6199129282609
45988970.59235324, 990.3416619345076
58852653.93086925, 926.2797112030503
78227101.77659625, 866.2460959682003
103979668.6068593, 803.3747059300722
138210047.89962593, 741.5797132311191
187227750.1548812, 678.5615417376493
277109498.0408872, 616.9209413843146
385006353.26818675, 545.1959114139695
573450004.0069114, 485.11692736564964
870487695.3914204, 446.2598730060399
1321386036.3295655, 418.36250064529486
1756389781.0206888, 398.74716070414524
