He,H
12141.479169384738, 2374.840792009182
16398.897804620934, 2327.3705882529225
22149.183427708194, 2276.016458734787
29915.810950174004, 2225.525423830402
40405.8121477733, 2176.3290308466417
54574.140010456525, 2125.1906749819436
73710.60249917641, 2076.641602958496
99557.27968870549, 2027.4452099747364
134467.1133182757, 1977.8172696841011
181618.1058852423, 1929.268197660654
245302.6288090919, 1881.1506729440816
331318.1767167672, 1832.8173745740714
447495.14000664547, 1785.1313971643744
604409.6412517574, 1737.876967061552
816346.328214095, 1691.9171788793556
1102598.770940266, 1646.1731643505964
1489225.8440588582, 1601.2922444355868
2011423.985827179, 1557.0586454808904
2716731.2915642587, 1514.3354621002563
3669355.1248118347, 1472.2595996799355
4956017.208544162, 1431.9099264871147
6693848.301926192, 1393.0706688683572
9041051.151305923, 1354.6629585564742
12211302.412845066, 1317.9814374720913
16493204.619953606, 1283.2418792686472
22276558.99746748, 1248.9338683720775
30087850.857515354, 1216.7835940098835
40638177.97564716, 1186.1437352217522
54887985.087438405, 1156.1511973939337
74134497.58412512, 1128.100622447053
101614018.99113153, 1110.3186603406866
135240407.0710095, 1074.3729827411048
182662555.6633228, 1049.7747862492242
246713315.67301124, 1026.2554580245323
333223521.9710801, 1003.3834507601523
450068595.98116827, 982.0218590698355
607885481.4638207, 960.6602673795187
821040974.3628563, 940.593317609827
1108939598.2273214, 921.3894624538857
1497790087.1157806, 902.6171546048195
2022991287.0353003, 885.1394886763783
2732354675.481563, 867.6618227479375
3690456859.8350487, 851.0472514332469
4984518282.533437, 834.8642274254307
6732343298.553176, 819.1127507244901
9093044446.922401, 804.0085949838617
12281527195.957985, 789.3359865501093
16588053775.114557, 774.4476044629182
22404667078.916077, 760.2065433360403
30260880132.31071, 746.1812558626002
40871880093.40325, 732.3717420425974
55203635025.336365, 718.9937755294695
74560830405.80272, 706.0473563232167
100705640638.5446, 692.8851634635266
136018147883.05214, 679.7229706038365
183713011865.3423, 666.7765513975842
248132115117.85852, 654.2616794982064
335139824488.81384, 641.3152602919536
452656851391.6204, 628.1530674322635
611381310544.9501, 615.4224218794484
825762618492.3802, 602.6917763266333
1115316890357.0183, 589.5295834669432
1506403581439.3403, 576.3673906072531
2034625109503.0693, 562.773650440688
2748067906387.325, 549.1799102741224
3711679946759.561, 535.1546228006819
5013183260557.819, 521.1293353272422
6771059672286.193, 506.8882742003643
9145336745690.596, 492.215665766611
12352155827898.533, 477.54305733285764
16683448388992.723, 463.0862225525425
22533511884583.9, 447.98206681191414
30434904464216.72, 433.3094583781617
41106926185780.53, 417.98952898409607
55521100203548.74, 402.66959959003
74989614983151.23, 387.13389654252705
96535280828936.94, 373.66003062787104
103589070380601.47, 367.53445635528306

