CH4,H
607918.3863602055, 1013.0259983918531
931451.8158703676, 1005.9531254653211
1834359.2744586586, 987.1169480925582
4306402.607655326, 971.0354685964448
6434708.174312114, 961.5652640042881
13324614.097712813, 947.8066648798358
30353152.439574037, 926.6773876529987
45582506.933651835, 918.3239524702949
92049853.56541483, 900.3067393311303
211803250.38518247, 884.9102117394814
322899637.72576773, 877.0481550969362
652067347.0690387, 859.3585276512113
1530814907.8994856, 840.596801572412
2287372570.2536693, 829.8758152416704
4619147219.082722, 812.6775663361041
10313124386.291483, 778.5044224068624
31910254360.51033, 731.6001072098643
73056625275.16313, 685.1424997766462
109162590374.1722, 658.8760832663284
204454211365.09518, 607.5270258197088
445167676920.92017, 544.8762619494337
665177957242.1829, 512.4452782989374
1245833707309.795, 465.02724917359046
2852262012136.5703, 414.43759492540084
4370232403151.027, 388.86357544894236
8323270710774.3545, 349.96277435302
18274908551643.414, 297.4001608147955
27306713783106.215, 273.63530778165114
53776612841989.64, 227.93710354686118
117090323802600.17, 179.02260341284818
170621731030789.88, 155.45876887340455

