H2O,H
12616.299346392458, 2129.634593049226
21921.412312268618, 2034.039131600106
38089.482864235586, 1937.5502546234238
66182.26436318246, 1841.5080854105236
114994.79086787307, 1744.5725006700613
199808.84688651326, 1648.0836236933792
347177.2503155315, 1552.488162244259
603236.7686157239, 1455.5525775037968
1048152.2008691969, 1359.9571160546766
1821213.6483457463, 1263.0215313142126
3164444.2001555418, 1166.0859465737503
5498370.333976922, 1070.04377736085
9553676.543916143, 973.5549003841679
16599961.4361654, 877.9594389350477
28843212.182817582, 783.7041007772714
50116435.04246677, 692.1290092021791
87079658.30733684, 612.1683194853922
151304993.7509954, 547.3956937371549
262899528.7646863, 493.344054319663
456800271.4995575, 450.01340123291266
793711913.5304439, 412.04324131153226
1379111705.8930407, 376.30662020905766
2396271323.2705503, 340.12329134280117
4163633903.0351033, 301.7064236576425
7234509343.809407, 265.52309479138603
12570299566.326674, 228.4463503975694
21841485535.215405, 191.36960600375096
36091614152.21863, 157.41981595640027

