H2n,H
1131547.1583331206, 3753.7952225244626
1965895.7846067862, 3659.1984460447966
3415453.087812867, 3563.7134369221303
5933844.452178688, 3467.340195156462
10309176.872694021, 3371.411069712294
17910669.659274187, 3275.4819442681264
31117138.79828067, 3184.526921624768
50138982.10797048, 3113.0982132500594
76832220.36091578, 3022.014890336045
220552033.01014322, 2840.692065518866
383176528.5149992, 2744.3188237531976
665712530.5122603, 2649.277930952031
1156577035.1293564, 2552.460572864862
2009381492.5780146, 2456.975563742196
3491003072.0638213, 2361.9346709410293
6065101372.822498, 2265.561429175361
10537216353.9422, 2169.632303731194
18306854521.39704, 2073.7031782870254
31805451383.961742, 1977.7740528428585
55257266427.45819, 1882.2890437201913
96001325564.4217, 1786.8040345975242
166788100569.99832, 1690.8749091533573
289769649827.1831, 1594.0575510661874
503431897563.513, 1499.0166582650218
874638443451.7272, 1403.5316491423546
1519554900009.3872, 1308.0466400196874
2640001833248.917, 1212.1175145755205
4586612618941.63, 1115.3001564883507
7968560874196.594, 1019.3710310441838
13844195636567.42, 924.3301382430163
24052241784860.066, 830.1774780848518
41787211771936.98, 736.0248179266873
72599098383081.02, 651.1986005200379
126130193007418.4, 579.6958727584151
219132550436688.56, 522.8489836063145
380710387544270.25, 475.32853720573075
661427975420677.5, 435.80218459216303
1149133254522045.2, 399.8287625506
1996449025018282, 364.2994568305385
3468534822929870.5, 327.4378021459743
6026066113942970, 290.13203113990676
10469398366581122, 253.27037645534256
18189030801464710, 215.96460544927868
31600750101619376, 180.43529972921533
44911057914066620, 157.3412510111757
