He,H
27123.46828475204, 1916.6403377224797
90458.74655429821, 1854.6375283128855
161103.58671773877, 1825.2677764872878
294210.3056354541, 1791.0030660240918
523977.363081669, 1761.6333141984942
956897.008186483, 1729.0002566144976
1747502.7525827158, 1697.9988519097005
3191321.369132148, 1668.6291000841047
5542773.807829947, 1637.6276953793076
10122314.526286589, 1604.994637795311
18485555.233073145, 1570.729927332115
32922070.711308874, 1534.017737550117
58632955.63777475, 1495.6738948889215
101835313.08634427, 1448.3559613921261
176870343.2837441, 1401.0380278953307
314999353.54404885, 1350.4567886401364
547099450.1509953, 1303.9546815829399
974363309.9948229, 1254.1892687673462
1692300714.7407463, 1206.8713352705508
2939233938.444666, 1159.5534017737555
5234663840.955524, 1110.6038153977606
9091706623.809187, 1066.5491876593642
28837306990.4728, 975.992452863773
51358146828.36705, 936.0169573233779
162899080209.3089, 856.065966242586
282927555913.7057, 812.0113385041896
550139704270.4822, 748.3768762153959
1043212310671.7672, 655.3726621010046
2214693051750.7017, 555.8418364698155
3751216507874.233, 503.6289443354199
6680773910686.243, 456.3110108386245
12200551050350.566, 415.5196888586288
21190249110312.97, 377.99167263703384
38698019046339.03, 338.8320035362376
68919699915301.95, 298.0406815562419
122743363962054.55, 262.1443182138446
389320532885175.6, 185.4566328914516
693365059983615.8, 146.29696379065535

