H2n,H
115073.76016745603, 5343.573121889449
138637.81110637594, 5277.883150013253
211717.89908482702, 5104.056647009454
255072.10382669038, 5039.973275024296
396181.2176361164, 4864.17892481668
469293.17212497164, 4799.21144756604
741361.773785352, 4617.6086208292845
893172.9823199854, 4552.175324675325
1363990.8609853976, 4380.040980136644
1643299.9761277998, 4315.634386871632
2509531.9648762364, 4139.859049680479
3023417.484625815, 4074.4542730512117
4776217.261262326, 3890.075545911005
5657628.503112329, 3830.6598694672675
8787500.144738697, 3652.935698088759
10586946.871212749, 3586.6182966693173
16167639.487441111, 3412.943897797214
19478342.812767047, 3348.2521092852726
29745953.03447791, 3176.4695055511384
35837134.477677055, 3110.304208263392
55662690.51358981, 2933.4641421503666
65934777.918032736, 2871.880981829961
104159887.28350638, 2691.7168066721633
125489066.81295727, 2626.7651736019084
198240252.97846976, 2452.9766966310335
238834593.6216464, 2390.566470094531
390295241.045672, 2217.817371356913
478248569.4783588, 2152.6185690726506
794885800.7167144, 1983.244280757035
974013918.4708719, 1923.194837097897
1703261493.9235418, 1749.9500418596626
2158995925.563803, 1680.1451099920487
3775443611.0356407, 1518.0591446535318
4705258059.4142275, 1461.3052905144732
8511570159.155952, 1300.1224434579026
10788974775.35119, 1241.8950805430395
20189077928.793396, 1084.5095553854053
26028072880.890724, 1027.3648781301845
52119286543.907974, 868.183679195583
67192993828.12077, 815.3697445789285
154070936458.3027, 681.676550490326
212552586058.60938, 644.8863636363631
577315844433.02, 559.0685211510809
823889975108.2748, 535.6565840621952
