Hn,H
33424.02337518097, 5467.221105613963
36998.910720467524, 5381.028764319581
40956.15237983642, 5293.885772202098
46898.55185522905, 5199.4544571075185
53703.14441940722, 5108.8257453053375
59446.99785177381, 5022.633404010955
66929.12916423813, 4931.608587699149
75352.97815799792, 4840.425329583493
83412.40311180845, 4754.708313700661
95514.85394497993, 4660.11855680223
105730.70494598028, 4574.876866330948
121071.35706039127, 4481.713085667167
136309.66722641204, 4395.203860765085
153465.9049878094, 4301.7231964936045
169879.94693349712, 4213.312669945322
194528.12428607326, 4124.2683761816415
215334.00160391265, 4037.4422676718596
246577.18690847853, 3942.6940689695793
272950.00430454465, 3854.2835424212976
312552.7957812716, 3763.9717142268164
345982.07572852366, 3678.4131401478344
396181.2176361164, 3582.397407014754
438555.02779863693, 3496.8388329357717
502185.7405411845, 3405.259470310491
555897.3308154152, 3318.116478193009
636553.4426584813, 3223.0513958830284
704636.4146339061, 3137.4928218040463
793323.5203306563, 3049.0822952557646
893172.9823199854, 2957.8198162381836
1022765.0058174394, 2866.5573372206027
1132155.477319253, 2781.31564674932
1296421.887212706, 2688.151866085539
1435081.5017877305, 2600.3751067526578
1643299.9761277998, 2509.429511342776
1850129.364515338, 2423.554053656094
2154752.6028310955, 2328.4889713461134
2385215.516455202, 2245.7823497364307
2825387.2371786092, 2149.7666166033514
3235327.5919336327, 2061.9898572704697
3704746.9066858306, 1976.1143995837865
4242275.087325926, 1886.4363386047053
4857794.167819637, 1803.095949779623
5754259.750496665, 1707.397100254243
6589155.318945088, 1622.1554097829612
7674057.74226748, 1533.2695578231287
8937589.020300038, 1448.186309155697
10586946.871212749, 1359.7757826074148
12540680.02000368, 1271.3652560591336
14854958.400873147, 1183.5884967262518
17596317.643036947, 1096.4455046087696
20843571.973682206, 1008.9856288835881
24690080.131281722, 921.5257531584057
29246429.434398964, 833.4321102178246
35235321.70637155, 747.5566525311424
46201790.45903577, 666.7513325676582
62668520.49118074, 593.5512191889738
80793230.10367574, 515.91473530249
